,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
2952,fitness,17VaWS9Qlddo8Sd1GkUhjn,0.71,0.867,0,-3.1,1,0.0466,0.148,0,0.807,130.01
2953,fitness,2od5sSNb5SsiYvlfsdx3UK,0.881,0.902,8,-3.217,0,0.0565,0.0836,0.0285,0.95,116.046
2954,fitness,7gcMKL3lnDxsp4bIXyv6Zk,0.899,0.626,6,-4.228,0,0.292,0.076,0,0.873,88.007
2955,fitness,3YJfDc6cfilH8scCRUYEl3,0.675,0.763,1,-6.728,1,0.107,0.103,0,0.612,104.978
2956,fitness,2hwzXM3cG8re45lAF7DToP,0.978,0.836,1,-2.558,1,0.179,0.476,0.00152,0.64,116.997
2957,fitness,7ztcWZ0EB6akSzlb8BUaqG,0.798,0.818,6,-4.628,1,0.0801,0.113,0.00315,0.951,176.0
2958,fitness,173YHY1KP7BGsAsGDOOHY5,0.774,0.94,6,-4.257,0,0.0706,0.0806,3.6e-06,0.724,102.055
2959,fitness,4AFT0anakPbgcwuExfce5b,0.863,0.67,5,-7.71,0,0.105,0.109,0.00547,0.673,99.988
2960,fitness,4GB6Zuky9AApmZN6gm7lHo,0.875,0.78,9,-4.146,1,0.0718,0.189,0.000223,0.745,128.018
2961,fitness,4YhbGZIdFWjAw4Dcc0PG8E,0.689,0.86,7,-4.078,0,0.13,0.00463,0,0.795,129.0
2962,fitness,11EnQRgRMJwMAesfkB5pnu,0.905,0.686,0,-3.152,1,0.0664,0.0907,0,0.963,103.013
2963,fitness,0eeKDrQxjqNl5bX5VCHDcn,0.889,0.863,11,-3.011,1,0.0757,0.289,0.000603,0.776,112.953
2964,fitness,4EujMMs0YlMFsxuKf70pUz,0.755,0.896,9,-3.679,0,0.0413,0.0214,7.26e-06,0.625,128.001
2965,fitness,7uKjjI2a4Ia8nHKzgdya1y,0.748,0.973,5,-2.557,0,0.104,0.0987,0.0301,0.672,128.059
2966,fitness,11AeVlL0q1FtihuT3XAQPn,0.655,0.965,6,-3.803,1,0.0429,0.004,0.000244,0.663,132.977
2967,fitness,50PpRAc5QQrDlwLWdaWpo3,0.664,0.934,4,-4.136,0,0.0966,0.00522,9.02e-06,0.501,127.944
2968,fitness,2YRvdf9cdS88y1wB1WhKoE,0.796,0.911,1,-1.998,1,0.285,0.188,0,0.918,180.128
2969,fitness,2dl5K2ScW7jYhAhuem06cm,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.842,89.988
2970,fitness,5baooT8LNzBfkAxaOp1aou,0.784,0.953,11,-3.153,0,0.0582,0.00054,0.094,0.922,127.995
2971,fitness,7FbKipScVxkjQxQXwTd0gL,0.941,0.729,6,-7.56,0,0.246,0.146,0.00451,0.718,118.026
2972,fitness,199d2Fnep6QWp5moyL6ETT,0.873,0.976,6,-4.872,1,0.109,0.0437,0,0.903,127.983
